block,moment_name,value,se,N,unit
B,B1_earn_path_q1_t-1,1.100298523902893,.0415802113711834,192,ratio
B,B1_earn_path_q1_t-2,.8262133002281189,.0372903123497963,160,ratio
B,B1_earn_path_q1_t-3,.7974919676780701,.0465051829814911,180,ratio
B,B1_earn_path_q1_t0,1.580331206321716,.1443403214216232,156,ratio
B,B1_earn_path_q1_t1,.9744430780410767,.0982140600681305,179,ratio
B,B1_earn_path_q1_t2,1.11838698387146,.1998909711837769,143,ratio
B,B1_earn_path_q1_t3,1.359086155891418,.1907639056444168,161,ratio
B,B1_earn_path_q1_t5,1.585348963737488,.2262932509183884,153,ratio
B,B1_earn_path_q2_t-1,1.084053039550781,.0223294701427221,192,ratio
B,B1_earn_path_q2_t-2,.9919071197509766,.0191261321306229,154,ratio
B,B1_earn_path_q2_t-3,.8058322072029114,.028896402567625,190,ratio
B,B1_earn_path_q2_t0,1.070125341415405,.037655770778656,152,ratio
B,B1_earn_path_q2_t1,.8242454528808594,.0431499145925045,189,ratio
B,B1_earn_path_q2_t2,.6871154308319092,.0515716150403023,146,ratio
B,B1_earn_path_q2_t3,.8425216674804688,.059982605278492,176,ratio
B,B1_earn_path_q2_t5,.9585272669792175,.0843917056918144,157,ratio
B,B1_earn_path_q3_t-1,1.095227718353271,.0182709153741598,188,ratio
B,B1_earn_path_q3_t-2,.9850533604621887,.0182107463479042,144,ratio
B,B1_earn_path_q3_t-3,.8190078735351563,.0256039183586836,192,ratio
B,B1_earn_path_q3_t0,1.037147998809814,.0366143994033337,138,ratio
B,B1_earn_path_q3_t1,.8341374397277832,.037427544593811,178,ratio
B,B1_earn_path_q3_t2,.7282974720001221,.0507256016135216,124,ratio
B,B1_earn_path_q3_t3,.8493909239768982,.0498054809868336,165,ratio
B,B1_earn_path_q3_t5,.7849779725074768,.0535598285496235,151,ratio
B,B1_earn_path_q4_t-1,1.057093024253845,.0152353448793292,191,ratio
B,B1_earn_path_q4_t-2,.9775049090385437,.0162742584943771,132,ratio
B,B1_earn_path_q4_t-3,.8656195402145386,.0230520498007536,193,ratio
B,B1_earn_path_q4_t0,1.049643754959106,.0292737204581499,129,ratio
B,B1_earn_path_q4_t1,.8785561919212341,.043196476995945,184,ratio
B,B1_earn_path_q4_t2,.6560987234115601,.0626143664121628,125,ratio
B,B1_earn_path_q4_t3,.8282890915870667,.058676078915596,167,ratio
B,B1_earn_path_q4_t5,.8083838820457458,.0596785359084606,152,ratio
B,B1_earn_path_q5_t-1,1.076421976089478,.0158168580383062,190,ratio
B,B1_earn_path_q5_t-2,.9678553938865662,.0180395022034645,95,ratio
B,B1_earn_path_q5_t-3,.9028081893920898,.0152958985418081,190,ratio
B,B1_earn_path_q5_t0,1.021808266639709,.0485659055411816,89,ratio
B,B1_earn_path_q5_t1,.8768929839134216,.0440536923706532,182,ratio
B,B1_earn_path_q5_t2,.8521745204925537,.0851854681968689,82,ratio
B,B1_earn_path_q5_t3,.8328585028648376,.0547451861202717,168,ratio
B,B1_earn_path_q5_t5,.850512683391571,.0570617504417896,143,ratio
B,B2_etu_rate_q1,.2837837837837838,.0370582583571757,148,rate
B,B2_etu_rate_q2,.3006535947712418,.0370709451193471,153,rate
B,B2_etu_rate_q3,.2569444444444444,.0364123755017115,144,rate
B,B2_etu_rate_q4,.25,.0346687622640768,156,rate
B,B2_etu_rate_q5,.2034883720930233,.0306974029766585,172,rate
B_kleven,kleven_pooled_t-1,0,.1017845571041107,1293,log_diff
B_kleven,kleven_pooled_t-2,-.6205029487609863,.1163549274206161,1251,log_diff
B_kleven,kleven_pooled_t-3,-1.395318031311035,.128235399723053,1232,log_diff
B_kleven,kleven_pooled_t-4,-2.105765342712402,.13896743953228,1176,log_diff
B_kleven,kleven_pooled_t-5,-3.087925910949707,.1465689688920975,1131,log_diff
B_kleven,kleven_pooled_t0,.1260643005371094,.0987240299582481,1304,log_diff
B_kleven,kleven_pooled_t1,-.9574847221374512,.1148240566253662,1332,log_diff
B_kleven,kleven_pooled_t10,-1.564548015594482,.1422051787376404,1035,log_diff
B_kleven,kleven_pooled_t2,-1.624825000762939,.1277222782373428,1284,log_diff
B_kleven,kleven_pooled_t3,-1.660093307495117,.1281687468290329,1276,log_diff
B_kleven,kleven_pooled_t4,-1.590524196624756,.1290395855903625,1239,log_diff
B_kleven,kleven_pooled_t5,-1.827993392944336,.1323992758989334,1219,log_diff
B_kleven,kleven_pooled_t6,-1.729741096496582,.1364544928073883,1171,log_diff
B_kleven,kleven_pooled_t7,-1.714452743530273,.1357327401638031,1148,log_diff
B_kleven,kleven_pooled_t8,-1.581967353820801,.138164684176445,1105,log_diff
B_kleven,kleven_pooled_t9,-1.706648349761963,.1393334567546844,1085,log_diff
C_partial,C_hiamen_tercile1_kid0-2,.493285596370697,.0149590583242391,1117,share
C_partial,C_hiamen_tercile1_kid3-5,.5163249969482422,.013770366830201,1317,share
C_partial,C_hiamen_tercile1_kid6+,.4979752004146576,.005538782155509,8149,share
C_partial,C_hiamen_tercile2_kid0-2,.4718614816665649,.0146889310679373,1155,share
C_partial,C_hiamen_tercile2_kid3-5,.4721065759658813,.0144052781084536,1201,share
C_partial,C_hiamen_tercile2_kid6+,.4859862625598907,.0066357951060972,5673,share
C_partial,C_hiamen_tercile3_kid0-2,.2726059257984161,.0081340933820442,2997,share
C_partial,C_hiamen_tercile3_kid3-5,.3251155614852905,.0091935076485221,2596,share
C_partial,C_hiamen_tercile3_kid6+,.3320428729057312,.0046921339548284,10074,share
D,D1_age_first_birth_q1,21.20713577799802,,1009,years
D,D1_age_first_birth_q2,21.6100307062436,,977,years
D,D1_age_first_birth_q3,22.77044025157233,,954,years
D,D1_age_first_birth_q4,23.8763557483731,,922,years
D,D1_age_first_birth_q5,27.20566502463054,,812,years
D,D2_total_children_q1,3.9375,,32,count
D,D2_total_children_q2,3.76,,25,count
D,D2_total_children_q3,3.2,,20,count
D,D2_total_children_q4,1.846153846153846,,13,count
D,D2_total_children_q5,.6666666666666666,,3,count
D,D3_frac_child_at25_college,.1934235976789168,.0173712956915597,517,share
D,D3_frac_child_at25_noncollege,.5794701986754967,.0066953643854224,5436,share
D,D4_emprate_at25_college,.8022988505747126,.0190953689361419,435,rate
D,D4_emprate_at25_noncollege,.6339622641509434,.0071770708982017,4505,rate
D,D5_mean_earn_at25_college,23740.95316048451,843.5184423473642,341,USD2024
D,D5_mean_earn_at25_noncollege,17542.96088940007,235.4896418432457,3339,USD2024
D,D6_earngrowth_2535_earlymom_college,.7413605645165912,.2014819950908374,56,log_diff
D,D6_earngrowth_2535_earlymom_noncollege,.6577641596101013,.0411799614516177,951,log_diff
DESC,mean_age_first_birth_25_35,28.39993585631815,.0506677075548725,3118,years
DESC,mean_bio_children_all,1.140038215624311,.0108857225482085,27214,count
DESC,median_prebirth_earn,24947.86328125,,969,USD2024
DESC,total_women,27214,,,count
DESC,women_birth_25_35,3118,,,count
DESC,women_with_births,11117,,,count
DESC,women_with_quintile,969,,,count
E,E1_recovery_tercile1_t3,1.148636698722839,.1167032867670059,276,ratio
E,E1_recovery_tercile1_t5,1.328797817230225,.1443443298339844,255,ratio
E,E1_recovery_tercile2_t3,.8464990854263306,.0391786321997643,280,ratio
E,E1_recovery_tercile2_t5,.8383828997612,.0467803478240967,254,ratio
E,E1_recovery_tercile3_t3,.8236556053161621,.0448554567992687,281,ratio
E,E1_recovery_tercile3_t5,.8270599842071533,.0434863083064556,247,ratio
EXTRA_recovery,recovery_at_age45_tercile1,2.38872106089333,.3201716312776524,122,ratio
EXTRA_recovery,recovery_at_age45_tercile2,1.326909043131199,.0881325694924483,132,ratio
EXTRA_recovery,recovery_at_age45_tercile3,1.006789292172328,.0968837923201884,102,ratio
F3_PFL,F3_DiD_mothers,,,,USD2024
F3_PFL,F3_DiD_reg_emp_mothers,0,0,5112,pp
F3_PFL,F3_DiD_reg_mothers,0,0,5760,log_earn
F3_PFL,F3_earn_nopfl_pre_allwomen,16590.79708914689,70.17409996216109,,USD2024
F3_PFL,F3_earn_nopfl_pre_mothers,19303.99961302836,310.2811871969986,5723,USD2024
F3_PFL,F3_earn_pfl_post_allwomen,27507.12052909659,995.2617326979296,1073,USD2024
F3_PFL,F3_earn_pfl_post_mothers,35775.98770443424,4645.168066438328,91,USD2024
F3_PFL,F3_earn_pfl_pre_allwomen,24482.42749143299,911.7352356055843,1133,USD2024
F3_PFL,F3_earn_pfl_pre_mothers,27747.07253082705,4487.973417136277,71,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-1,14613.1806640625,,10,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-3,19080.9921875,,10,USD2024
F3_PFL_ES,F3_eventstudy_CA_t-5,11053.9169921875,,15,USD2024
F3_PFL_ES,F3_eventstudy_CA_t1,22857.220703125,,16,USD2024
F3_PFL_ES,F3_eventstudy_CA_t3,27928.744140625,,21,USD2024
F3_PFL_ES,F3_eventstudy_CA_t5,35383.77734375,,16,USD2024
F3_PFL_ES,F3_eventstudy_CA_t7,21379.228515625,,17,USD2024
F3_PFL_ES,F3_eventstudy_control_t-1,24042.322265625,,135,USD2024
F3_PFL_ES,F3_eventstudy_control_t-3,27698.728515625,,113,USD2024
F3_PFL_ES,F3_eventstudy_control_t-5,25323.466796875,,118,USD2024
F3_PFL_ES,F3_eventstudy_control_t1,25727.646484375,,166,USD2024
F3_PFL_ES,F3_eventstudy_control_t3,24958.927734375,,181,USD2024
F3_PFL_ES,F3_eventstudy_control_t5,26991.43359375,,172,USD2024
F3_PFL_ES,F3_eventstudy_control_t7,25585.62890625,,179,USD2024
F6_OCC,F6_hiamen_share_q1_post,.3930753469467163,.0220426876435888,491,share
F6_OCC,F6_hiamen_share_q1_pre,.4124999940395355,.0317768094788295,240,share
F6_OCC,F6_hiamen_share_q2_post,.46549192070961,.019114355318499,681,share
F6_OCC,F6_hiamen_share_q2_pre,.5272727012634277,.0274831187726595,330,share
F6_OCC,F6_hiamen_share_q3_post,.3590096235275269,.017791460238468,727,share
F6_OCC,F6_hiamen_share_q3_pre,.3946666717529297,.0252404379233216,375,share
F6_OCC,F6_hiamen_share_q4_post,.2682926952838898,.0163096611658794,738,share
F6_OCC,F6_hiamen_share_q4_pre,.2739018201828003,.0226693804282539,387,share
F6_OCC,F6_hiamen_share_q5_post,.1183144226670265,.0130026876698075,617,share
F6_OCC,F6_hiamen_share_q5_pre,.1116751283407211,.0158677748697403,394,share
F6_OCC,F6_mother_overrep_occ1,1.00064218044281,,,ratio
F6_OCC,F6_mother_overrep_occ2,.9854452013969421,,,ratio
F6_OCC,F6_mother_overrep_occ3,1.033929824829102,,,ratio
F6_OCC,F6_mother_overrep_occ4,.9989527463912964,,,ratio
F6_OCC,F6_mother_overrep_occ5,.9662005305290222,,,ratio
F6_OCC,F6_mother_overrep_occ6,1.025123834609985,,,ratio
F6_OCC,F6_move_to_hiamen_q1,.1553398058252427,.0356914161924068,103,rate
F6_OCC,F6_move_to_hiamen_q2,.1267605633802817,.0279199462941636,142,rate
F6_OCC,F6_move_to_hiamen_q3,.0866666666666667,.022971802360801,150,rate
F6_OCC,F6_move_to_hiamen_q4,.0714285714285714,.020753114398142,154,rate
F6_OCC,F6_move_to_hiamen_q5,.0335570469798658,.0147532209150465,149,rate
F6_OCC,F6_occ_change_rate_q1,.4466019417475728,.0489847060910238,103,rate
F6_OCC,F6_occ_change_rate_q2,.3380281690140845,.039696482794411,142,rate
F6_OCC,F6_occ_change_rate_q3,.2666666666666667,.0361068373539376,150,rate
F6_OCC,F6_occ_change_rate_q4,.2792207792207792,.0361505272609893,154,rate
F6_OCC,F6_occ_change_rate_q5,.2214765100671141,.0340178265106315,149,rate
MOTHER_GAP,mothergap_age25-29,-.3782434463500977,.0174136068671942,14775,log_diff
MOTHER_GAP,mothergap_age30-34,-.4367218017578125,.0200955327600241,14985,log_diff
MOTHER_GAP,mothergap_age35-39,-.3820829391479492,.0231234654784203,14179,log_diff
MOTHER_GAP,mothergap_age40-44,-.3503026962280273,.0258677322417498,13095,log_diff
MOTHER_GAP,mothergap_age45-49,-.1374397277832031,.0308696404099464,11569,log_diff
MOTHER_GAP,mothergap_age50-55,-.0822763442993164,.0324756391346455,11541,log_diff
MOTHER_GAP,mothergap_college,7378,,7378,log_diff
MOTHER_GAP,mothergap_noncollege,72734,,,log_diff
